client_code,product,push_notification,top4_products,push_quality_score,total_transactions,avg_balance,total_spending,currency_operations,online_services,outflows_vs_inflows
CLIENT_030,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,101,1867667.7846901088,1561124.47889571,4,3,0.3599800522555141
CLIENT_031,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,117,275115.19475059386,460091.08262287185,1,4,0.9028936070456236
CLIENT_032,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,123,226814.03636712112,512669.0318624049,6,2,1.1212666198625452
CLIENT_033,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Обмен валют,1,102,181430.5693615923,368849.6419779084,3,3,0.9034688478128426
CLIENT_034,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,110,2664344.368397365,266170.7145110864,5,4,0.05433384839293042
CLIENT_035,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредит наличными|Кредитная карта,2,110,8642.74221868542,1394701.2320750535,4,3,1.6890196341117594
CLIENT_036,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,99,333668.01209494355,276715.1292617881,3,4,0.6916262623401622
CLIENT_037,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Депозит накопительный,1,92,2119726.618175312,1320513.473355363,2,1,0.35010455407356217
CLIENT_038,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,105,72156.54790661152,475945.46556055336,6,4,1.4324300683290763
CLIENT_039,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Обмен валют|Премиальная карта|Кредит наличными,2,85,120640.44834462139,353681.7721019591,6,1,1.7512535920964756
CLIENT_040,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,104,90441.90130744314,368177.4630063313,5,3,1.2251644240379624
CLIENT_041,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Инвестиции,2,99,2773713.193260405,253843.97871169666,6,3,0.06636691971679358
CLIENT_042,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,99,874.692874741303,1188602.599341875,5,2,1.181107063522301
CLIENT_043,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Обмен валют,2,108,167975.3903443531,485874.77098441724,3,2,1.0433198008931115
CLIENT_044,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Инвестиции,1,116,689122.6123094793,2291478.4316654825,4,4,0.7764170830389743
CLIENT_045,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Обмен валют,1,116,3002.9412628938862,546139.8239373574,3,4,1.464055517677327
CLIENT_046,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,114,288477.2185868863,429505.41627677367,6,3,0.9332286300996179
CLIENT_047,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,88,77123.4121917236,374699.7746114109,4,1,1.3242603539983162
CLIENT_048,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Инвестиции|Карта для путешествий|Депозит накопительный,1,98,2526400.483252573,190711.15328514442,2,3,0.04299681896723575
CLIENT_049,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,95,24643.722475684946,1033604.5814260471,4,2,1.0385488467971031
CLIENT_050,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,104,154161.7420294777,469929.50348247343,5,2,1.023449532396665
CLIENT_051,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,96,1933213.3909870298,1545861.8262415123,3,2,0.3952080644162178
CLIENT_052,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Депозит накопительный,1,108,267324.2483517488,397822.1861995614,3,4,0.713022285594316
CLIENT_053,Обмен валют,💱 Выгодный обмен валют без комиссии. Лучший курс в городе! Обменивайте валюту выгодно и безопасно.,Премиальная карта|Обмен валют|Карта для путешествий|Кредитная карта,1,107,66219.68991835382,467228.6557151267,6,1,1.1612817174284689
CLIENT_054,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,107,314875.57749344985,326113.1524541694,5,4,0.6467403294752468
CLIENT_055,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,103,2414624.792147291,245484.31204555026,4,1,0.06234471555873221
CLIENT_056,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,97,31172.45369230975,1160913.0572078573,5,3,1.1373492662671447
CLIENT_057,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,104,246121.8453585635,462524.6059749379,2,3,1.109157045681751
CLIENT_058,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Инвестиции|Карта для путешествий|Обмен валют,1,94,1661205.6287534602,1606800.0821151945,3,4,0.4192721830018107
CLIENT_059,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Кредитная карта|Карта для путешествий|Депозит накопительный,1,109,186611.90185074598,365697.9571723981,2,4,0.7730410217183287
CLIENT_060,Обмен валют,💱 Выгодный обмен валют без комиссии. Лучший курс в городе! Обменивайте валюту выгодно и безопасно.,Обмен валют|Карта для путешествий|Премиальная карта|Кредитная карта,1,86,79807.23219107052,399996.9868665159,6,1,1.1933227321558588
